"ID","Title","Brand","Product Type","Sku","Parent Product ID","Product Active Installations","Plugin Extensions","Product Addons","Product Author","Product Ease of use","Product Founder","Product Last Updated","Product Licensing Type","Product Marketplace","Type","Product Pricing options","Product Review Date","Product Site Usage","Product Support Duration","Product Support type","Product Team Size","Product Wordpress Compatibility","_seopress_titles_title","_seopress_titles_desc","_seopress_analysis_target_kw"
"3167","Ajax Search Pro","WP Dreams","external","3167","0","20000+","None","None","WP Dreams","Easy","-","3 Months ago","GPL","Codecanyon","Widget","One-time payment","12/3/2020","Single Site","6 months","Support ticket","5+","Latest","Ajax Search Pro  Plugin Features, reviews and Pricing | Appsfomo","","Ajax Search Pro Review"
"3169","Go Pricing"," Granth ","external","3169","0","10000+","Elementor, Beaver Builder","None","Granth ","Easy"," Granth ","7 Months ago","GPL","Codecanyon","Widget","One-time payment","12/4/2020","Single Site","6 months","Support ticket","3","Latest","Go Pricing  Plugin Features, reviews and Pricing | Appsfomo","","Go Pricing Review"
"3171","Advanced Google Maps","Weblizar","external","3171","0","5000+","None","None","Weblizar","Moderate"," Hari Shankar Maliya ","2 Months ago","GPL","Own site","Widget","One-time payment","12/1/2020","Single Site","6 months","Support ticket","10+","Latest","Advanced Google Maps  Plugin Features, reviews and Pricing | Appsfomo","","Advanced Google Maps Review"
"3181","WP Timeline","Ex-themes","external","3181","0","2000+","Elementor,Oxygen, WPbakery","None","Ex-themes","Easy","-","3 Months ago","GPL","Codecanyon","Widget","One-time payment","12/2/2020","Single Site","6 months","Support ticket","5+","Latest","WP Timeline  Plugin Features, reviews and Pricing | Appsfomo","","WP Timeline Review"
"3185","White Label","Acmee","external","3185","0","50000+","None","None","Acmee","Easy","Kannan Chandrasekaran","1 month ago","GPL","Codecanyon","Admin Themes","One-time payment","12/3/2020","Single Site","6 months","Support ticket","5+","Latest","White Label  Plugin Features, reviews and Pricing | Appsfomo","","White Label Review"
"3187","Essential Grid","Theme Punch","external","3187","0","30000","5+","None","Theme Punch","Easy","Moritz Praetorius","2 Months ago","GPL","Codecanyon","Page Builder","One-time payment","12/2/2020","Single Site","6 months","Chat, Tutorials, Support ticket","20+","Latest","Essential Grid  Plugin Features, reviews and Pricing | Appsfomo","","Essential Grid Review"
"3189","Master Slider","Averta","external","3189","0","20000+","None","None","Averta","Easy","Hesam Rahbar ","2 Months ago","GPL","Codecanyon","Slider","One-time payment","12/3/2020","Single Site","6 months","Support ticket","30+","Latest","Master Slider  Plugin Features, reviews and Pricing | Appsfomo","","Master Slider Review"
"3191","Kraken","Kraken","external","3191","0","5000+","None","None","Kraken","Moderate","Kraken","1 Month ago ","GPL","Own site","Image Optimisation","Subscription","12/1/2020","Single Site","6 months","Support ticket","20+","Latest","Kraken  Plugin Features, reviews and Pricing | Appsfomo","","Kraken Review"
"3193","Mega Menu","AccessKeys","external","3193","0","20000+","None","None","AccessKeys","Easy","AccessKeys","3 Months ago","GPL","Codecanyon","Menu","One-time payment","12/2/2020","Single Site","6 months","Support ticket","5+","Latest","Mega Menu  Plugin Features, reviews and Pricing | Appsfomo","","Mega Menu Review"
"3195","WordPress Real Media Library","Devowl","external","3195","0","30000+","None","None","Devowl","Moderate","Devowl","1 Month ago ","GPL","Codecanyon","Media","One-time payment","12/3/2020","Single Site","6 months","Support ticket","6","Latest","WordPress Real Media Library  Plugin Features, reviews and Pricing | Appsfomo","","WordPress Real Media Library Review"
"3197","Yellow Pencil","Wasp Themes","external","3197","0","12890","None","None","Wasp Themes","Easy","Wasp Themes","6 Months ago","GPL","Codecanyon","Editor","One-time payment","12/4/2020","Single Site","6 months","Support ticket","10+","Latest","Yellow Pencil  Plugin Features, reviews and Pricing | Appsfomo","","Yellow Pencil Review"
"3205","Image map pro","Nickys","external","3205","0","24174","None","None","Nickys","Easy","Nickys","7 Months ago","GPL","CodeCanyon","Design","One-time payment","12/4/2020","Single Site","6 months","FAQ, Live Chat","8","Latest","Image map pro  Plugin Features, reviews and Pricing | Appsfomo","","Image map pro Review"
"3207","Mailster","EverPress","external","3207","0","662","None","None","EverPress","Easy","Alex Econs","2 weeks ago","GPL","CodeCanyon","Email Marketing","One-time payment","12/4/2020","Single Site","6 months","FAQ, Live Chat","4","Latest","Mailster  Plugin Features, reviews and Pricing | Appsfomo","","Mailster Review"
"3209","Tube","Merkulove","external","3209","0","4757","None","None","Merkulove","Easy","Merkulove","5 Months ago","GPL","CodeCanyon","Video Extention","One-time payment","12/4/2020","Single Site","6 months","FAQ, Live Chat","3","Latest","Tube  Plugin Features, reviews and Pricing | Appsfomo","","Tube Review"
"3211","Agile store locator","Agilelogix","external","3211","0","143","None","None","Agilelogix","Easy","--","1 Months ago","GPL","CodeCanyon","Location","One-time payment","12/4/2020","Single Site","6 months","Support Ticket","7","Latest","Agile store locator  Plugin Features, reviews and Pricing | Appsfomo","","Agile store locator Review"
"3215","Album Stripes","GalleryCreator","external","3215","0","93","None","None","GalleryCreator","Easy","--","1 Months ago","GPL","CodeCanyon","Gallery","One-time payment","12/4/2020","Single Site","6 months","FAQ, Support Tickets","5","Latest","Album Stripes  Plugin Features, reviews and Pricing | Appsfomo","","Album Stripes Review"
"3217","Mycase","Egprojets","external","3217","0","65","None","None","Egprojets","Easy","-","4 Years ago","GPL","CodeCanyon","Design","One-time payment","12/4/2020","Single Site","6 months","FAQ","7","Latest","Mycase  Plugin Features, reviews and Pricing | Appsfomo","","Mycase Review"
"3223","Google Analytics E-commerce","E-commerce","external","3223","0","4472","None","None","JooCreo","Easy","JooCreo","1 Months ago","GPL","CodeCanyon","Analytics","One-time payment","12/3/2020","Single Site","6 months","FaQ, Live Chat","2","Latest","Google Analytics E-commerce  Plugin Features, reviews and Pricing | Appsfomo","","Google Analytics E-commerce Review"
"3225","Woo Commerce Recover Abandoned Art","FantasticPlugins","external","3225","0","180","None","None","FantasticPlugins","Easy","FantasticPlugins","2 Weeks ago","GPL","Codecanyon","Ecommerce","One-time payment","12/3/2020","Single Site","6 months","FAQ, Support Tickets","5","Latest","Woo Commerce Recover Abandoned Art  Plugin Features, reviews and Pricing | Appsfomo","","Woo Commerce Recover Abandoned Art Review"
"3227","Popup Container adobe muse widget","MuseTemplatesPro","external","3227","0","98","None","None","MuseTemplatesPro","Easy","MuseTemplatesPro","7 Months ago","GPL","Codecanyon","Widget","One-time payment","12/3/2020","Single Site","6 months","FAQ, Support Tickets","5","Latest","Popup Container adobe muse widget  Plugin Features, reviews and Pricing | Appsfomo","","Popup Container adobe muse widget Review"
"3229","Ultratabs Magento Extension","NWDthemes
","external","3229","0","56","None","None","NWDthemes
","Easy","Luma","4 Years ago","GPL","Codecanyon","Extentions","One-time payment","12/3/2020","Single Site","6 months","FAq, Live Chat","3","Latest","Ultratabs Magento Extension  Plugin Features, reviews and Pricing | Appsfomo","","Ultratabs Magento Extension Review"
"3231","Advanced FAQ Extension for Magento","NWDthemes
","external","3231","0","56","None","None","NWDthemes
","Easy","Luma","5 Years ago","GPL","Codecanyon","Extentions","One-time payment","12/3/2020","Single Site","6 months","FAq, Live Chat","3","Latest","Advanced FAQ Extension for Magento  Plugin Features, reviews and Pricing | Appsfomo","","Advanced FAQ Extension for Magento Review"
"3233","Powerbanners","NWDthemes
","external","3233","0","259","None","None","NWDthemes
","Easy","Luma","5 Years ago","GPL","Codecanyon","Extentions","One-time payment","12/3/2020","Single Site","6 months","FAq, Live Chat","3","Latest","Powerbanners  Plugin Features, reviews and Pricing | Appsfomo","","Powerbanners Review"
"3235","Wunderadmin","NWDthemes
","external","3235","0","49","None","None","NWDthemes
","Easy","Luma","6 Years ago","GPL","Codecanyon","Extentions","One-time payment","12/3/2020","Single Site","6 months","FAq, Live Chat","3","Latest","Wunderadmin  Plugin Features, reviews and Pricing | Appsfomo","","Wunderadmin Review"
"3239","Magneto installer/duplicator","Nardo2010","external","3239","0","59","Margneto","None","Nardo2010","Easy","Nardo2010","5 Years ago","GPL","Codecanyon","Extentions","One-time payment","12/3/2020","Single Site","6 months","Support Ticket","4","Latest","Magneto installer/duplicator  Plugin Features, reviews and Pricing | Appsfomo","","Magneto installer/duplicator Review"
"3241","Newsletter popup for magneto","Consofas","external","3241","0","82","None","None","Consofas","Easy","Consofas","2 Years ago","GPL","Codecanyon","Extentions","Annual subscription","12/3/2020","Single Site","6 months","Support Ticket","1","Latest","Newsletter popup for magneto  Plugin Features, reviews and Pricing | Appsfomo","","Newsletter popup for magneto Review"
